Customer_ID,Campaign_Name,Campaign_Channel,Funnel_Stage,Date,Impressions,Clicks,Website_Visits,Leads_Generated,Sign_Ups,Add_To_Cart,Purchases,Revenue,Ad_Spend,Cost_Per_Click,Conversion_Rate,ROI,Customer_Segment,Device,Region
CUST1021,Referral Program,YouTube,Intent,14-10-2024,29193,3024,2506,535,157,65,17,3216.67,2463.88,0.81,0.56,30.55,New,Desktop,South
CUST1022,SEO,Google,Conversion,11-04-2024,6896,966,534,107,50,30,7,2536.51,558.92,0.58,0.72,353.82,Premium,Tablet,West
CUST1023,Referral Program,Facebook,Interest,28-11-2024,27980,2460,2078,219,93,42,17,973.35,3863.64,1.57,0.69,-74.81,New,Desktop,South
CUST1024,Referral Program,Facebook,Intent,25-12-2024,41934,3775,3280,450,257,91,31,6748.57,3761.4,1.0,0.82,79.42,Premium,Mobile,West
CUST1025,PPC Ads,YouTube,Intent,06-10-2024,26158,1286,893,200,70,21,9,1874.42,1627.35,1.27,0.7,15.18,Returning,Mobile,East
CUST1026,PPC Ads,Email,Interest,02-08-2024,19442,2288,1698,420,95,49,11,3240.25,1600.57,0.7,0.48,102.44,New,Mobile,North
CUST1027,Email Campaign,Instagram,Awareness,22-04-2024,18931,685,552,122,25,17,6,496.39,4205.42,6.14,0.88,-88.2,Returning,Mobile,North
CUST1028,Social Media,Google,Awareness,17-08-2024,3247,179,102,26,13,5,1,405.56,454.55,2.54,0.56,-10.78,New,Mobile,East
CUST1029,SEO,YouTube,Conversion,28-10-2024,689,47,32,8,3,1,0,0.0,4417.42,93.99,0.0,-100.0,New,Mobile,West
CUST1030,PPC Ads,Google,Awareness,22-05-2024,19618,1590,1048,107,54,23,9,3192.0,1357.64,0.85,0.57,135.11,Returning,Desktop,North
CUST1031,SEO,Facebook,Conversion,04-01-2024,36273,1593,889,212,62,31,11,4525.9,3005.63,1.89,0.69,50.58,Returning,Mobile,South
CUST1032,Referral Program,Instagram,Consideration,22-03-2024,2399,62,40,15,5,2,0,0.0,4686.37,75.59,0.0,-100.0,Returning,Mobile,West
CUST1033,Social Media,Google,Interest,23-12-2024,1767,168,88,22,4,2,0,0.0,3422.8,20.37,0.0,-100.0,New,Mobile,North
CUST1034,Email Campaign,YouTube,Intent,04-08-2024,32051,1615,824,249,145,72,24,8348.09,2130.71,1.32,1.49,291.8,Returning,Mobile,East
CUST1035,SEO,Instagram,Conversion,23-06-2024,11894,1086,601,116,54,27,8,1679.91,3478.72,3.2,0.74,-51.71,Returning,Desktop,West
CUST1036,Social Media,Email,Awareness,22-05-2024,4056,128,113,37,21,7,3,1241.96,1785.5,13.95,2.34,-30.44,Premium,Tablet,North
CUST1037,Email Campaign,YouTube,Conversion,20-03-2024,4390,339,244,80,24,16,4,730.46,1458.57,4.3,1.18,-49.92,Premium,Tablet,East
CUST1038,SEO,Google,Conversion,20-04-2024,42106,3560,3155,808,359,143,41,12588.88,4983.75,1.4,1.15,152.6,Returning,Tablet,West
CUST1039,Social Media,Instagram,Awareness,21-06-2024,31240,539,362,142,66,21,6,2312.57,3778.87,7.01,1.11,-38.8,Returning,Tablet,South
CUST1040,PPC Ads,YouTube,Awareness,22-02-2024,15002,856,534,73,23,13,4,882.12,3259.13,3.81,0.47,-72.93,Returning,Mobile,West
CUST1041,SEO,Instagram,Interest,17-02-2024,22277,641,450,47,25,13,3,558.74,1840.92,2.87,0.47,-69.65,Returning,Tablet,South
CUST1042,Social Media,Instagram,Intent,13-07-2024,11127,209,141,46,26,12,5,1283.53,340.89,1.63,2.39,276.52,Premium,Tablet,West
CUST1043,Email Campaign,Instagram,Interest,19-02-2024,9292,1380,748,255,141,66,18,7525.5,252.18,0.18,1.3,2884.18,New,Desktop,East
CUST1044,Social Media,Google,Interest,02-07-2024,43823,2415,1826,248,122,74,34,15927.8,2815.49,1.17,1.41,465.72,Returning,Desktop,South
CUST1045,PPC Ads,YouTube,Awareness,25-06-2024,43521,5369,3148,565,175,66,15,4429.31,3833.96,0.71,0.28,15.53,Returning,Desktop,South
CUST1046,SEO,Facebook,Awareness,05-11-2024,8933,407,304,32,10,6,2,695.32,2733.16,6.72,0.49,-74.56,Premium,Mobile,West
CUST1047,SEO,Facebook,Intent,15-05-2024,43501,4585,3484,654,382,213,100,45647.31,4219.85,0.92,2.18,981.73,Returning,Mobile,North
CUST1048,SEO,Google,Conversion,23-01-2024,11516,1340,751,249,50,23,5,471.73,263.79,0.2,0.37,78.83,Returning,Mobile,South
CUST1049,PPC Ads,Google,Interest,23-08-2024,24397,2278,1194,304,147,71,34,5250.8,1897.09,0.83,1.49,176.78,Premium,Desktop,West
CUST1050,Email Campaign,Instagram,Intent,01-10-2024,3112,236,191,39,18,7,2,738.01,1261.64,5.35,0.85,-41.5,Returning,Tablet,East
CUST1051,SEO,YouTube,Interest,04-03-2024,23983,1622,1109,234,105,63,30,12620.55,2291.64,1.41,1.85,450.72,Returning,Desktop,West
CUST1052,Email Campaign,YouTube,Conversion,12-07-2024,49055,2886,1510,151,90,45,18,7841.94,454.64,0.16,0.62,1624.87,Premium,Mobile,West
CUST1053,Social Media,Email,Interest,10-02-2024,17659,2474,2221,421,136,58,16,3788.77,4775.25,1.93,0.65,-20.66,New,Desktop,South
CUST1054,Email Campaign,Email,Consideration,09-10-2024,45474,5742,3003,882,296,159,40,3608.12,1193.95,0.21,0.7,202.2,Returning,Tablet,North
CUST1055,Email Campaign,Facebook,Intent,30-05-2024,41494,6020,4683,1836,425,296,86,21242.14,4619.31,0.77,1.43,359.86,Returning,Mobile,East
CUST1056,SEO,Email,Awareness,17-11-2024,15041,412,368,130,49,23,5,769.15,2186.88,5.31,1.21,-64.83,New,Tablet,South
CUST1057,Referral Program,Email,Interest,12-11-2024,36420,4090,2436,260,79,52,12,2172.46,4929.07,1.21,0.29,-55.93,Premium,Tablet,South
CUST1058,Referral Program,Facebook,Intent,04-07-2024,27031,3821,2127,786,265,116,26,10335.53,2814.89,0.74,0.68,267.17,New,Mobile,South
CUST1059,PPC Ads,Facebook,Intent,22-10-2024,2085,73,40,13,6,1,0,0.0,4661.08,63.85,0.0,-100.0,Returning,Tablet,East
CUST1060,PPC Ads,Email,Interest,08-04-2024,4443,85,52,17,9,3,1,422.41,126.21,1.48,1.18,234.69,New,Desktop,North
CUST1061,Referral Program,YouTube,Awareness,26-12-2024,24439,2780,1502,356,97,45,10,2424.51,3766.37,1.35,0.36,-35.63,Premium,Tablet,East
CUST1062,Social Media,Email,Awareness,05-02-2024,19957,1804,1401,307,107,41,9,2864.06,4524.95,2.51,0.5,-36.71,Returning,Tablet,East
CUST1063,SEO,Instagram,Interest,24-01-2024,1521,194,101,19,10,3,1,90.34,784.63,4.04,0.52,-88.49,Premium,Tablet,North
CUST1064,SEO,Instagram,Intent,04-12-2024,12153,359,252,30,6,3,0,0.0,571.02,1.59,0.0,-100.0,Premium,Desktop,East
CUST1065,Social Media,Instagram,Awareness,26-04-2024,44073,5347,4805,809,191,121,27,2439.87,2180.41,0.41,0.5,11.9,New,Tablet,West
CUST1066,Social Media,Google,Interest,28-05-2024,13917,532,439,76,20,11,2,965.39,4675.03,8.79,0.38,-79.35,New,Tablet,East
CUST1067,Referral Program,Instagram,Interest,10-02-2024,41257,1357,1012,248,108,39,18,7438.82,2757.69,2.03,1.33,169.75,Premium,Desktop,South
CUST1068,PPC Ads,YouTube,Interest,29-04-2024,10192,336,209,67,17,5,2,513.67,2684.54,7.99,0.6,-80.87,Premium,Mobile,East
CUST1069,Social Media,Google,Intent,21-02-2024,46258,5737,4300,1041,611,199,60,9037.27,791.52,0.14,1.05,1041.76,Returning,Mobile,South
CUST1070,PPC Ads,Google,Awareness,13-07-2024,7373,760,540,63,23,13,5,2350.27,103.87,0.14,0.66,2162.7,Premium,Mobile,East
CUST1071,Email Campaign,Instagram,Intent,22-05-2024,6175,513,343,132,52,34,12,2460.82,4069.69,7.93,2.34,-39.53,Premium,Tablet,South
CUST1072,SEO,Email,Consideration,20-08-2024,661,39,21,8,2,0,0,0.0,529.12,13.57,0.0,-100.0,New,Mobile,South
CUST1073,Referral Program,Facebook,Awareness,21-11-2024,37565,4988,4262,1430,555,192,77,23363.65,3205.86,0.64,1.54,628.78,Premium,Desktop,South
CUST1074,SEO,Email,Intent,05-07-2024,27057,1757,1194,474,220,111,43,20412.03,4581.62,2.61,2.45,345.52,Premium,Tablet,North
CUST1075,Referral Program,Email,Awareness,24-03-2024,34263,4259,2461,648,324,142,39,2017.22,1122.39,0.26,0.92,79.73,New,Tablet,East
CUST1076,Email Campaign,Google,Consideration,08-07-2024,33106,2366,1531,595,298,134,28,4400.37,3359.84,1.42,1.18,30.97,Returning,Tablet,East
CUST1077,SEO,Google,Conversion,30-06-2024,12034,755,502,61,26,14,4,1889.21,485.62,0.64,0.53,289.03,New,Mobile,West
CUST1078,Email Campaign,Google,Interest,17-04-2024,29627,2215,1840,385,216,126,58,7365.34,3058.4,1.38,2.62,140.82,New,Mobile,West
CUST1079,Referral Program,YouTube,Intent,09-12-2024,40897,2134,1693,283,149,51,18,1817.27,903.27,0.42,0.84,101.19,Premium,Mobile,West
CUST1080,Social Media,YouTube,Consideration,16-05-2024,26351,3021,2440,387,194,60,26,7971.19,3706.17,1.23,0.86,115.08,Premium,Tablet,East
CUST1081,SEO,Facebook,Consideration,25-12-2024,1516,121,61,8,1,0,0,0.0,1576.03,13.03,0.0,-100.0,Returning,Desktop,North
CUST1082,Email Campaign,Google,Awareness,15-12-2024,24753,1052,701,200,40,15,3,794.1,2370.62,2.25,0.29,-66.5,Premium,Tablet,South
CUST1083,SEO,Instagram,Awareness,27-11-2024,24776,3368,2332,779,221,71,28,13931.51,3037.21,0.9,0.83,358.69,Returning,Desktop,East
CUST1084,SEO,Google,Interest,06-02-2024,23747,1513,768,210,97,36,14,4978.78,939.24,0.62,0.93,430.09,Returning,Tablet,North
CUST1085,SEO,YouTube,Awareness,07-11-2024,24800,2135,1289,185,67,21,10,833.34,3734.03,1.75,0.47,-77.68,Returning,Desktop,North
CUST1086,PPC Ads,Google,Intent,21-11-2024,9029,1236,993,340,122,55,27,13412.91,1582.94,1.28,2.18,747.34,Returning,Tablet,East
CUST1087,Email Campaign,YouTube,Intent,28-03-2024,17762,1729,959,278,153,95,38,8874.99,3345.62,1.94,2.2,165.27,Premium,Tablet,South
CUST1088,Email Campaign,Google,Intent,30-09-2024,9768,257,183,39,21,9,2,358.66,875.59,3.41,0.78,-59.04,New,Desktop,North
CUST1089,SEO,Instagram,Conversion,05-05-2024,21771,3082,1806,545,307,146,64,19266.92,3471.78,1.13,2.08,454.96,New,Desktop,East
CUST1090,Social Media,Facebook,Intent,24-03-2024,12685,1241,626,111,36,20,4,747.75,728.12,0.59,0.32,2.7,Premium,Desktop,South
CUST1091,SEO,Instagram,Awareness,24-08-2024,21743,1236,737,150,71,35,15,1333.59,2184.25,1.77,1.21,-38.95,Premium,Desktop,West
CUST1092,PPC Ads,YouTube,Awareness,13-07-2024,39599,1168,1039,389,120,77,36,1823.14,1311.31,1.12,3.08,39.03,Returning,Desktop,North
CUST1093,Referral Program,Email,Intent,18-05-2024,9071,1099,901,168,46,29,9,2270.81,3767.04,3.43,0.82,-39.72,Premium,Desktop,North
CUST1094,PPC Ads,Instagram,Consideration,23-11-2024,40476,3918,3462,834,228,69,26,11091.3,1383.97,0.35,0.66,701.41,New,Desktop,East
CUST1095,Social Media,Google,Consideration,18-12-2024,38544,3264,2268,832,280,171,56,17222.34,4420.41,1.35,1.72,289.61,Premium,Desktop,East
CUST1096,SEO,Facebook,Consideration,12-10-2024,49716,6718,3653,1140,424,205,67,33476.1,4469.92,0.67,1.0,648.92,Premium,Tablet,South
CUST1097,Email Campaign,Google,Interest,22-04-2024,49484,5958,4284,508,270,187,54,9670.37,1062.56,0.18,0.91,810.1,Returning,Desktop,West
CUST1098,SEO,Google,Conversion,16-12-2024,41274,1289,878,126,31,15,6,1057.23,3107.85,2.41,0.47,-65.98,Returning,Desktop,West
CUST1099,Social Media,Instagram,Intent,15-06-2024,3068,164,137,14,6,4,1,121.89,529.82,3.23,0.61,-76.99,Returning,Tablet,East
CUST1100,Email Campaign,Facebook,Interest,29-01-2024,2527,113,60,17,7,4,1,123.83,2018.53,17.86,0.88,-93.87,Returning,Tablet,East
CUST1101,PPC Ads,Email,Consideration,27-04-2024,3195,364,253,59,18,7,1,178.33,3595.28,9.88,0.27,-95.04,New,Mobile,South
CUST1102,Referral Program,Google,Intent,17-01-2024,48690,715,400,56,22,11,5,2033.89,3331.17,4.66,0.7,-38.94,Premium,Mobile,East
CUST1103,Referral Program,Facebook,Interest,10-06-2024,5758,516,325,125,39,27,11,5033.5,3161.03,6.13,2.13,59.24,Premium,Desktop,South
CUST1104,SEO,Email,Awareness,24-07-2024,22502,2626,2087,540,236,151,41,20040.36,1484.45,0.57,1.56,1250.02,Returning,Desktop,South
CUST1105,PPC Ads,Google,Consideration,17-05-2024,40004,5310,3666,632,236,79,17,2627.02,1952.32,0.37,0.32,34.56,New,Mobile,West
CUST1106,Social Media,Facebook,Interest,03-02-2024,33659,1948,1266,316,83,48,13,5805.59,604.44,0.31,0.67,860.49,New,Mobile,South
CUST1107,Referral Program,Instagram,Awareness,18-04-2024,14486,1810,1190,361,89,39,18,3558.87,3623.21,2.0,0.99,-1.78,Premium,Desktop,West
CUST1108,PPC Ads,Google,Consideration,17-10-2024,13166,335,229,28,11,3,1,100.78,2569.06,7.67,0.3,-96.08,Returning,Mobile,West
CUST1109,SEO,Google,Conversion,10-06-2024,39160,5032,4096,747,419,193,80,35320.9,3572.95,0.71,1.59,888.56,Premium,Desktop,West
CUST1110,Email Campaign,Facebook,Consideration,18-04-2024,4061,113,96,32,10,3,0,0.0,1319.82,11.68,0.0,-100.0,Premium,Tablet,East
CUST1111,SEO,Google,Conversion,01-12-2024,27354,1794,1582,376,185,116,48,5958.19,1689.75,0.94,2.68,252.61,New,Tablet,West
CUST1112,SEO,Email,Conversion,12-09-2024,39452,4798,3909,1031,477,207,43,10467.23,1737.66,0.36,0.9,502.38,New,Mobile,South
CUST1113,PPC Ads,Google,Conversion,21-07-2024,23162,717,448,102,58,36,11,1971.93,226.14,0.32,1.53,772.0,Premium,Tablet,East
CUST1114,Referral Program,YouTube,Intent,25-11-2024,8892,374,289,32,16,4,1,381.56,1771.13,4.74,0.27,-78.46,Returning,Tablet,South
CUST1115,PPC Ads,Email,Intent,22-08-2024,31035,3448,2327,348,148,62,15,3810.56,4036.19,1.17,0.44,-5.59,Returning,Tablet,East
CUST1116,Email Campaign,Facebook,Conversion,14-03-2024,13567,1503,904,211,97,38,16,7922.82,4496.76,2.99,1.06,76.19,Premium,Tablet,South
CUST1117,PPC Ads,Email,Awareness,15-05-2024,48533,4841,4048,658,368,144,38,2836.14,2639.27,0.55,0.78,7.46,Premium,Desktop,North
CUST1118,Social Media,YouTube,Conversion,12-03-2024,24099,2582,1330,152,54,17,6,1258.54,2331.96,0.9,0.23,-46.03,Returning,Desktop,North
CUST1119,SEO,YouTube,Interest,06-05-2024,35722,3071,2643,933,308,115,36,9606.78,251.04,0.08,1.17,3726.79,Returning,Mobile,North
CUST1120,Referral Program,Google,Conversion,14-10-2024,12337,558,382,150,30,15,5,1382.05,4408.1,7.9,0.9,-68.65,Returning,Tablet,South
CUST1121,Email Campaign,Google,Intent,02-10-2024,14539,849,640,216,114,47,10,1921.71,163.75,0.19,1.18,1073.56,Premium,Tablet,East
CUST1122,SEO,Instagram,Intent,14-05-2024,31318,1109,846,301,156,72,14,5294.21,4729.28,4.26,1.26,11.95,New,Tablet,West
CUST1123,PPC Ads,Email,Interest,26-10-2024,19615,2690,2308,398,96,43,20,8872.72,2497.16,0.93,0.74,255.31,Returning,Mobile,West
CUST1124,Social Media,Instagram,Interest,07-08-2024,11465,1051,793,307,132,85,23,10865.74,1775.48,1.69,2.19,511.99,Returning,Desktop,South
CUST1125,PPC Ads,YouTube,Consideration,25-10-2024,25038,1655,1233,196,75,49,21,8658.13,4628.67,2.8,1.27,87.05,Returning,Tablet,South
CUST1126,SEO,Google,Awareness,23-07-2024,43030,3213,1692,652,161,80,39,16877.68,219.52,0.07,1.21,7588.45,Premium,Desktop,South
CUST1127,Email Campaign,Google,Awareness,04-07-2024,5556,792,560,223,132,57,15,4466.18,2948.98,3.72,1.89,51.45,New,Mobile,South
CUST1128,Referral Program,Google,Awareness,22-04-2024,32982,1037,580,181,51,17,4,1686.6,2789.77,2.69,0.39,-39.54,New,Desktop,West
CUST1129,SEO,Facebook,Intent,11-03-2024,48216,4439,3528,1391,315,214,85,15859.02,1174.67,0.26,1.91,1250.08,Returning,Tablet,East
CUST1130,Email Campaign,YouTube,Awareness,17-09-2024,8610,695,489,132,57,18,8,1834.52,2201.55,3.17,1.15,-16.67,Premium,Desktop,West
CUST1131,SEO,Google,Consideration,09-09-2024,14273,1364,1053,187,92,38,18,3467.0,3296.09,2.42,1.32,5.19,New,Desktop,South
CUST1132,Social Media,YouTube,Consideration,16-02-2024,27766,348,179,41,8,3,1,260.32,3662.94,10.53,0.29,-92.89,Premium,Mobile,North
CUST1133,PPC Ads,Google,Awareness,25-01-2024,17912,2366,1263,351,162,69,30,5355.32,103.51,0.04,1.27,5073.72,New,Mobile,West
CUST1134,Referral Program,Email,Interest,26-02-2024,33770,4744,3731,454,187,68,16,7723.6,4690.58,0.99,0.34,64.66,Returning,Mobile,North
CUST1135,Email Campaign,YouTube,Consideration,19-03-2024,7410,660,349,100,24,14,6,1144.68,906.17,1.37,0.91,26.32,Premium,Mobile,North
CUST1136,Referral Program,Instagram,Interest,17-11-2024,45953,4941,2611,1029,276,96,46,4329.52,1244.54,0.25,0.93,247.88,Returning,Desktop,South
CUST1137,Referral Program,Facebook,Intent,22-03-2024,25946,3610,1822,286,122,67,16,4593.08,1391.02,0.39,0.44,230.2,New,Desktop,West
CUST1138,Referral Program,Instagram,Consideration,14-12-2024,706,76,67,22,7,2,0,0.0,285.32,3.75,0.0,-100.0,New,Mobile,East
CUST1139,Email Campaign,YouTube,Interest,04-08-2024,22018,690,548,204,117,38,8,797.96,702.96,1.02,1.16,13.51,Returning,Mobile,West
CUST1140,Email Campaign,Google,Awareness,01-11-2024,22861,2073,1329,509,268,177,49,7287.54,4933.11,2.38,2.36,47.73,New,Tablet,East
CUST1141,Referral Program,YouTube,Intent,02-02-2024,23919,2270,1404,544,322,121,53,13724.75,1644.56,0.72,2.33,734.55,Returning,Tablet,East
CUST1142,PPC Ads,Facebook,Conversion,16-07-2024,49202,3413,2183,559,169,106,33,8083.78,664.98,0.19,0.97,1115.64,Returning,Mobile,South
CUST1143,SEO,YouTube,Conversion,14-07-2024,42023,4752,3848,1513,889,460,104,42625.58,624.26,0.13,2.19,6728.18,Returning,Desktop,East
CUST1144,Referral Program,Google,Awareness,01-11-2024,45651,6428,4914,1607,598,198,59,22583.05,3625.35,0.56,0.92,522.92,New,Mobile,West
CUST1145,Social Media,Instagram,Intent,27-08-2024,22903,3196,1834,272,92,62,30,7255.3,4287.39,1.34,0.94,69.22,Premium,Desktop,West
CUST1146,Referral Program,Email,Intent,27-09-2024,18641,1362,775,188,41,16,6,1201.0,1359.07,1.0,0.44,-11.63,Returning,Desktop,North
CUST1147,Email Campaign,Instagram,Intent,08-05-2024,15320,396,213,67,14,9,2,384.82,202.46,0.51,0.51,90.07,Premium,Tablet,East
CUST1148,SEO,Google,Intent,10-10-2024,40842,6039,4614,803,382,140,34,13542.12,1193.14,0.2,0.56,1035.0,New,Mobile,South
CUST1149,Social Media,Google,Conversion,06-01-2024,6874,876,705,205,78,50,24,1762.38,376.93,0.43,2.74,367.56,New,Mobile,South
CUST1150,SEO,Facebook,Interest,14-12-2024,2178,59,35,10,2,0,0,0.0,606.64,10.28,0.0,-100.0,Premium,Desktop,West
CUST1151,SEO,YouTube,Intent,28-02-2024,34327,4768,2423,360,160,80,22,8975.89,2214.39,0.46,0.46,305.34,Returning,Mobile,East
CUST1152,Social Media,YouTube,Interest,15-12-2024,16698,2200,1172,315,94,57,12,3176.59,1226.6,0.56,0.55,158.98,New,Tablet,South
CUST1153,Referral Program,Instagram,Intent,01-10-2024,10414,860,762,252,108,72,15,1633.45,2628.13,3.06,1.74,-37.85,Returning,Tablet,East
CUST1154,Referral Program,Email,Consideration,16-05-2024,28390,2633,1627,406,139,92,21,3276.1,1342.12,0.51,0.8,144.1,Returning,Mobile,East
CUST1155,Referral Program,Email,Consideration,24-11-2024,22799,1501,1212,125,66,41,15,7044.4,4708.63,3.14,1.0,49.61,Premium,Mobile,North
CUST1156,PPC Ads,Facebook,Consideration,23-06-2024,44085,778,583,59,31,20,9,3930.99,4539.13,5.83,1.16,-13.4,New,Tablet,South
CUST1157,Referral Program,Google,Intent,27-02-2024,44189,2515,1641,339,132,50,17,6279.86,2877.35,1.14,0.68,118.25,Premium,Mobile,North
CUST1158,Social Media,Facebook,Interest,30-05-2024,43057,5270,3068,1159,394,162,73,19491.1,1836.68,0.35,1.39,961.21,New,Desktop,South
CUST1159,PPC Ads,YouTube,Conversion,10-08-2024,49580,527,289,48,16,6,2,568.29,1967.62,3.73,0.38,-71.12,Premium,Mobile,East
CUST1160,Referral Program,Google,Awareness,21-03-2024,44520,2523,1882,546,285,128,52,25420.72,2118.08,0.84,2.06,1100.18,New,Desktop,South
CUST1161,PPC Ads,Facebook,Conversion,20-08-2024,3193,209,169,28,9,4,1,484.6,3665.14,17.54,0.48,-86.78,New,Mobile,West
CUST1162,Social Media,Instagram,Intent,02-01-2024,29967,2554,1934,380,107,55,13,1909.32,2313.03,0.91,0.51,-17.45,New,Mobile,East
CUST1163,Referral Program,YouTube,Consideration,14-05-2024,30223,4194,2986,1058,247,89,27,11204.92,4297.98,1.02,0.64,160.7,Returning,Tablet,South
CUST1164,Email Campaign,Email,Consideration,13-09-2024,47199,2760,1426,454,175,100,39,5411.61,4726.06,1.71,1.41,14.51,Returning,Desktop,North
CUST1165,Social Media,Facebook,Interest,01-04-2024,4127,241,213,27,10,3,0,0.0,1746.14,7.25,0.0,-100.0,Premium,Tablet,North
CUST1166,SEO,YouTube,Intent,16-09-2024,26439,2994,2453,560,300,127,39,13815.43,2847.4,0.95,1.3,385.19,Premium,Mobile,East
CUST1167,SEO,YouTube,Conversion,24-02-2024,49425,3623,2235,243,70,35,12,2787.01,565.78,0.16,0.33,392.6,New,Tablet,North
CUST1168,Social Media,Email,Intent,16-11-2024,43441,1800,1605,392,138,85,42,19706.19,1082.3,0.6,2.33,1720.77,New,Mobile,East
CUST1169,SEO,Email,Intent,01-06-2024,22334,1638,1213,362,189,112,38,3422.07,2125.98,1.3,2.32,60.96,Returning,Mobile,East
CUST1170,Social Media,Email,Consideration,23-11-2024,18547,551,403,54,28,15,6,1681.12,1110.39,2.02,1.09,51.4,Returning,Mobile,East
CUST1171,Email Campaign,Facebook,Conversion,16-09-2024,26605,923,737,137,48,17,5,2316.67,4395.15,4.76,0.54,-47.29,Returning,Desktop,South
CUST1172,Social Media,Email,Awareness,07-11-2024,10730,855,705,154,59,30,13,5939.06,875.6,1.02,1.52,578.28,Premium,Desktop,East
CUST1173,Referral Program,Instagram,Consideration,11-04-2024,16207,1112,848,318,102,34,12,1445.26,2332.74,2.1,1.08,-38.04,Returning,Desktop,North
CUST1174,Referral Program,YouTube,Conversion,19-03-2024,22476,3103,1710,680,389,175,81,17413.94,3067.93,0.99,2.61,467.61,Premium,Tablet,West
CUST1175,PPC Ads,Email,Interest,10-07-2024,44762,2718,1726,195,48,22,7,2300.23,3490.13,1.28,0.26,-34.09,Returning,Mobile,South
CUST1176,SEO,YouTube,Consideration,23-03-2024,24276,2215,1929,633,363,114,43,5234.29,1977.04,0.89,1.94,164.75,Returning,Tablet,North
CUST1177,SEO,Google,Interest,03-10-2024,30580,3012,1776,375,177,72,28,13597.08,4358.59,1.45,0.93,211.96,New,Tablet,East
CUST1178,Social Media,Google,Consideration,28-09-2024,1806,21,13,2,0,0,0,0.0,2884.76,137.37,0.0,-100.0,Premium,Mobile,East
CUST1179,SEO,Email,Intent,01-01-2024,7276,748,503,164,34,23,5,625.64,2253.59,3.01,0.67,-72.24,Returning,Tablet,West
CUST1180,Referral Program,YouTube,Conversion,02-11-2024,27751,969,654,245,95,41,9,940.68,429.48,0.44,0.93,119.03,New,Mobile,North
